Application Number,Facility Name,County,Facility Type,Keph Level
CN-10259,NJUKA CFW COMMUNITY CLINIC,KIRINYAGA,COMMUNITY,LEVEL 2
CN-19944,ST. ANTHONY CFW CLINIC,EMBU,COMMUNITY,LEVEL 2
CN-26639,KOLUNGA COMMUNITY DISPENSARY SUBA,HOMA BAY,COMMUNITY,LEVEL 3B
CN-31894,SUNTON CFW CLINIC,NAIROBI,COMMUNITY,LEVEL 2
CN-33024,ST. NICHOLAS C.F.W CLINIC,EMBU,COMMUNITY,LEVEL 2
CN-34564,ST. AUGUSTINE CFW CLINIC,EMBU,COMMUNITY,LEVEL 2
CN-39160,TENDER LOVING CARE CFW CLINIC,EMBU,COMMUNITY,LEVEL 2
CN-41599,KINGDOM FAITH BASED HOSPITAL,BUNGOMA,COMMUNITY,LEVEL 3A
CN-43748,COMMUNAL ORIENTED SERVICES,NAIROBI,COMMUNITY,LEVEL 3B
CN-59202,GARISSA MOTHER AND CHILD HEALTH CARE,GARISSA,COMMUNITY,LEVEL 3B
CN-88715,ST. ANNE CFW COMMUNITY CLINIC,KIRINYAGA,COMMUNITY,LEVEL 2
CN-95929,KWAMWATU DISPENSARY,MACHAKOS,COMMUNITY,LEVEL 2
