Application Number,Facility Name,County,Facility Type,Keph Level,latitude,longitude,geocoded_address,geocoding_status,matched_county
CN-10259,NJUKA CFW COMMUNITY CLINIC,KIRINYAGA,COMMUNITY,LEVEL 2,-0.525012949373,37.320744609382,Kirinyaga,Success,
CN-19944,ST. ANTHONY CFW CLINIC,EMBU,COMMUNITY,LEVEL 2,-0.5379964,37.4543311,Embu,Success,
CN-26639,KOLUNGA COMMUNITY DISPENSARY SUBA,HOMA BAY,COMMUNITY,LEVEL 3B,-0.58,34.223,"Suba, Homa Bay",Success,
CN-31894,SUNTON CFW CLINIC,NAIROBI,COMMUNITY,LEVEL 2,-1.2861836,36.8447974,Clinic,Success,
CN-33024,ST. NICHOLAS C.F.W CLINIC,EMBU,COMMUNITY,LEVEL 2,-0.5379964,37.4543311,Embu,Success,
CN-34564,ST. AUGUSTINE CFW CLINIC,EMBU,COMMUNITY,LEVEL 2,-0.5379964,37.4543311,Embu,Success,
CN-39160,TENDER LOVING CARE CFW CLINIC,EMBU,COMMUNITY,LEVEL 2,-0.5379964,37.4543311,Embu,Success,
CN-41599,KINGDOM FAITH BASED HOSPITAL,BUNGOMA,COMMUNITY,LEVEL 3A,0.748950071987,34.640152743934,Bungoma,Success,
CN-43748,COMMUNAL ORIENTED SERVICES,NAIROBI,COMMUNITY,LEVEL 3B,-1.2857857,36.8200253,Nairobi,Success,
CN-59202,GARISSA MOTHER AND CHILD HEALTH CARE,GARISSA,COMMUNITY,LEVEL 3B,-0.4459246,39.652735,Garissa,Success,
CN-88715,ST. ANNE CFW COMMUNITY CLINIC,KIRINYAGA,COMMUNITY,LEVEL 2,-0.525012949373,37.320744609382,Kirinyaga,Success,
CN-95929,KWAMWATU DISPENSARY,MACHAKOS,COMMUNITY,LEVEL 2,-1.3396503,37.3130462,Dispensary,Success,
