Application Number,Facility Name,County,Facility Type,Keph Level,latitude,longitude,geocoded_address,geocoding_status,matched_county
CN-10076,MATSANGONI MODEL HEALTH CENTRE,KILIFI,COUNTY GOVERNMENT,LEVEL 3A,-3.3897618,39.9289887,Matsangoni Model Health Centre,Success,
CN-10117,KIOBONYO DISPENSARY,KISII,COUNTY GOVERNMENT,LEVEL 2,-0.8580565,34.8344241,Dispensary,Success,
CN-10158,KAPSABET COUNTY REFERRAL HOSPITAL,NANDI,COUNTY GOVERNMENT,LEVEL 4,0.2038669,35.1063272,"Kapsabet, Nandi",Success,
CN-10190,KALULUINI DISPENSARY,MACHAKOS,COUNTY GOVERNMENT,LEVEL 2,-1.1737135,37.5609834,"Kiluluini, Machakos",Success,
CN-10211,KARIKO DISPENSARY_,KIRINYAGA,COUNTY GOVERNMENT,LEVEL 2,-0.3796489,37.3102583,Dispensary,Success,
CN-10214,WAMUNYU HEALTH CENTRE,MACHAKOS,COUNTY GOVERNMENT,LEVEL 3A,-1.36447,37.260884,Health Centre,Success,
CN-10220,LORGUSUA DISPENSARY,KAJIADO,COUNTY GOVERNMENT,LEVEL 2,-2.4119981,36.5503647,Dispensary,Success,
CN-10234,BEL-BUR DISPENSARY,NAKURU,COUNTY GOVERNMENT,LEVEL 2,-0.3020422,36.0723128,Dispensary,Success,
CN-10288,NYAKOKO DISPENSARY,KISUMU,COUNTY GOVERNMENT,LEVEL 2,-0.0213829,34.6234656,Dispensary,Success,
CN-10298,CHEMSIK DISPENSARY,BARINGO,COUNTY GOVERNMENT,LEVEL 2,0.3732912,35.7172503,Dispensary,Success,
CN-10303,KAPKEI DISPENSARY,UASIN GISHU,COUNTY GOVERNMENT,LEVEL 2,0.1675171,35.5251755,Dispensary,Success,
CN-10365,TIMBOROA HEALTH CENTRE,BARINGO,COUNTY GOVERNMENT,LEVEL 3B,0.4722778,35.9861309,Health Centre,Success,
CN-10378,KAITESE DISPENSARY,TURKANA,COUNTY GOVERNMENT,LEVEL 2,3.18663611,35.4496031,Turkana,Success,
CN-10421,NYAKIANGA HEALTH CENTRE,MURANGA,COUNTY GOVERNMENT,LEVEL 2,-0.63333,36.93333,"Nyakianga, Murang'A",Success,
CN-10450,KADINDA HEALTH CENTRE -COUNTY,KISUMU,COUNTY GOVERNMENT,LEVEL 3A,-0.0464292,34.7199994,Health Centre,Success,
CN-10469,KURESOI HEALTH CENTRE,NAKURU,COUNTY GOVERNMENT,LEVEL 3B,0.0140971,36.1398143,Health Centre,Success,
CN-10485,NYAMWARE DISPENSARY - RABUOR,KISUMU,COUNTY GOVERNMENT,LEVEL 2,-0.16667,34.8,"Nyamware, Kisumu",Success,
CN-10514,MPIZINYI HEALTH CENTRE,TAITA-TAVETA,COUNTY GOVERNMENT,LEVEL 3A,-3.436547605,38.41788214,Taita Taveta,Success,
CN-10569,LELECHWET DISPENSARY- KERICHO,KERICHO,COUNTY GOVERNMENT,LEVEL 2,-0.3682293,35.2854418,Kericho,Success,
CN-10572,EKWANDA HEALTH CENTRE,VIHIGA,COUNTY GOVERNMENT,LEVEL 3A,0.0720844,34.802303,Health Centre,Success,
CN-10573,NGUBERETI HEALTH CENTRE,BARINGO,COUNTY GOVERNMENT,LEVEL 3A,0.0565061,35.9075483,"Ngubereti, Baringo",Success,
CN-10622,SACHORA DISPENSARY,BOMET,COUNTY GOVERNMENT,LEVEL 2,-0.7811634,35.3436058,Dispensary,Success,
CN-10646,MANOA DISPENSARY,TAITA-TAVETA,COUNTY GOVERNMENT,LEVEL 2,-3.4107926,38.1395958,Dispensary,Success,
CN-10674,MIKEU DISPENSARY,NYANDARUA,COUNTY GOVERNMENT,LEVEL 2,-0.1240415,36.5403883,Dispensary,Success,
CN-10677,AWALOW NURSING HOME LIMITED,MANDERA,COUNTY GOVERNMENT,LEVEL 3A,3.370055804,40.69402909,Mandera,Success,
CN-10697,CHEBANGO DISPENSARY,BOMET,COUNTY GOVERNMENT,LEVEL 2,-0.7183669,35.2204935,"Chebango, Bomet",Success,
CN-10750,KIPNGOROM DISPENSARY,BARINGO,COUNTY GOVERNMENT,LEVEL 2,0.1605986,35.8100632,"Kimngorom, Baringo",Success,
