Application Number,Facility Name,County,Facility Type,Keph Level,latitude,longitude,geocoded_address,geocoding_status,matched_county
CN-18889,BEACON OF HOPE,KAJIADO,NGO - (NON GOVERNMENT ORGANIZATION),LEVEL 3A,-1.8419404,36.7892723,Kajiado,Success,
CN-19645,MWIKI CFW CLINIC,NAIROBI,NGO - (NON GOVERNMENT ORGANIZATION),LEVEL 2,-1.2861836,36.8447974,Clinic,Success,
CN-21162,MEDICAL LINK INTERGRATED HEALTH PROGRAM,NAIROBI,NGO - (NON GOVERNMENT ORGANIZATION),LEVEL 3B,-1.2857857,36.8200253,Nairobi,Success,
CN-23617,MARIE STOPES KENYA EASTLEIGH NURSING HOME,NAIROBI,NGO - (NON GOVERNMENT ORGANIZATION),LEVEL 4,-1.2857857,36.8200253,Nairobi,Success,
CN-26094,R.R.M.T.D ROPMENT MEDICAL CENTRE,KISII,NGO - (NON GOVERNMENT ORGANIZATION),LEVEL 3B,-0.775814232663,34.777005852014,Kisii,Success,
CN-28221,NORTH STAR ALLIANCE E.A - MLOLONGO WELLNESS CENTRE,MACHAKOS,NGO - (NON GOVERNMENT ORGANIZATION),LEVEL 2,-1.279605613208,37.413530961083,Machakos,Success,
CN-30414,THE NASIO TRUST-GEORGE MUDENYO KADIMA MEDICAL CENTRE LTD,KAKAMEGA,NGO - (NON GOVERNMENT ORGANIZATION),LEVEL 3A,0.28422,34.75229,Kakamega,Success,
CN-31433,WESLEY MISSION CLINIC LANET,NAKURU,NGO - (NON GOVERNMENT ORGANIZATION),LEVEL 3B,-0.2998718,36.1409901,"Lanet, Nakuru",Success,
CN-36146,FHOK FAMILYCARE MEDICAL CENTRE - KISUMU,KISUMU,NGO - (NON GOVERNMENT ORGANIZATION),LEVEL 3A,-0.10221,34.76171,Kisumu,Success,
CN-55648,THANANTU FAITH DISPENSARY,THARAKA-NITHI,NGO - (NON GOVERNMENT ORGANIZATION),LEVEL 2,-0.2687373,37.6192702,Dispensary,Success,
CN-59508,IKUU CFW CLINIC,THARAKA-NITHI,NGO - (NON GOVERNMENT ORGANIZATION),LEVEL 2,-0.3685733,37.6541616,"Ikuu, Tharaka-Nithi",Success,
