No,Vendor,No2,Level,County,03-Dec,05-Dec,11-Dec,18-Dec,23-Dec,09-Jan,30-Jan,03-Feb,Grand_Total,Percentage
12,LADNAN HOSPITAL,12,P 4,WAJIR,313600,106920,190400,52788410,2195130,8341170,2431240,0,66366870,1
19,ST THERESA MISSION HOSPITAL-KIIRUA,19,M5,MERU,16957184,15356181,5640060,2393610,14032111,12950831,11198546,0,78528523,1
23,ELDORET ONCOLOGY ASSOCIATES,23,P 3B,UASIN GISHU,10435052,4858975,13775042,4726260,3817043,2334795,7110594,0,47057761,0
24,CANCER CARE KENYA LIMITED UAP OLD MUTUAL TOWER,24,P4,NAIROBI,10889869,3126912,16798951,3782573,2527884,3279340,9621122,0,50026651,0
28,KERICHO COUNTY REFERRAL HOSPITAL,28,G 4,KERICHO,10816957,10998970,5317300,4348800,9355450,945540,10582570,0,52365587,0
29,KAKAMEGA COUNTY GENERAL HOSPITAL,29,G 5,KAKAMEGA,4433312,14806624,6562326,4422744,14597600,1257933,18661790,0,64742329,1
32,NYAHURURU DISTRICT HOSPITAL,32,G 4,LAIKIPIA,11021548,11068630,5108040,2184770,7782980,1285090,8500150,0,46951208,0
34,MWEA MISSION (OUR LADY OF LOURDES) HOSPITAL,34,M5,KIRINYAGA,13159282,9262710,3419810,2362980,9516070,1201260,7839330,0,46761442,0
35,POPE BENEDICT XVI HOSPITAL,35,M 4,LAIKIPIA,9386255,11687995,6226800,568100,3607680,442980,7027190,0,38947000,0
37,St Joseph Mission Hospital,37,M 4,MIGORI,3935820,2802450,8513668,7450590,3845850,11828800,15296300,0,53673478,0
40,PCEA TUMUTUMU MISSION HOSPITAL,40,M5,NYERI,9154282,9563130,5363910,1149460,7432250,325610,8591480,0,41580122,0
44,EMBU COUNTY REFERRAL HOSPITAL,44,G 5,EMBU,2078394,2058315,10058416,6298780,3177180,12508650,14616180,0,50795915,0
46,KAPKATET SUB COUNTY HOSPITAL,46,G 4,KERICHO,5272739,2215758,7987380,4572310,2684700,6125640,8552730,0,37411257,0
52,MERU TEACHING AND REFERRAL HOSPITAL,52,G 5,MERU,4866322,10504848,2906128,1910042,2054958,3023341,5470840,0,30736479,0
55,RACECOURSE HOSPITAL,55,P 5,UASIN GISHU,7830551,5553650,4865680,1324050,6564977,6345657,6294150,0,38778715,0
57,Makueni County Referral Hospital,57,G 4,MAKUENI,4353020,1493070,7063071,4220355,1352770,3860019,5415924,0,27758229,0
62,ST. LEONARDS HOSPITAL,62,P 4,KERICHO,5147790,5439740,3504530,1462830,5459670,64190,7294510,0,28373260,0
63,NYANGENA HOSPITAL LTD,63,P 5,KISII,4363470,5747920,3981960,1336060,5730850,847090,6047170,0,28054520,0
65,RAPHA DIALYSIS AND DIAGNOSTIC CENTRE,65,P 3B,UASIN GISHU,5697750,6145050,2502750,1001100,4047000,1608150,6390000,0,27391800,0
67,ITEN COUNTY REFERRAL HOSPITAL,67,G 4,ELGEYO-MARAKWET,8085779,4790652,1655190,352220,2620130,476040,6534700,0,24514711,0
74,NAIVASHA SUB COUNTY HOSPITAL,74,G 5,NAKURU,2688171,5836269,3983840,1509960,5160070,216719,7680720,0,27075749,0
77,Bungoma County Referral Hospital,77,G 5,BUNGOMA,1874110,947655,6194370,849640,3919600,7455600,4599540,0,25840515,0
78,Chuka County Refferal Hospital,78,G 4,THARAKA-NITHI,3250690,1189759,5839189,2277810,1215620,3876820,5582220,0,23232108,0
84,MOMBASA HOSPITAL,84,P 4,MOMBASA,4654495,5285247,1745844,872380,3334848,1243159,3141340,0,20277313,0
92,J.M KARIUKI MEMORIAL COUNTY REFERRAL HOSPITAL,92,G 4,NYANDARUA,3724940,4704190,2046140,353860,2149510,45010,3200710,0,16224360,0
95,Mukumu Hospital,95,M 4,KAKAMEGA,1402852,629394,3660439,3575439,1404848,4864243,5813947,0,21351162,0
101,Salama Cancer Centre Ltd,101,P 3A,KISUMU,1434900,1372500,4260400,2325098,839400,977800,2206800,0,13416898,0
104,The Webuye Hospital Limited,104,P 4,BUNGOMA,1602400,197200,3510720,3514880,957360,5873760,5904880,0,21561200,0
106,MWINGI LEVEL IV HOSPITAL,106,G 4,KITUI,2247856,3999240,1712400,1739680,2714560,99520,4388880,0,16902136,0
