Application Number,Facility Name,County,Facility Type,Keph Level
CN-18889,BEACON OF HOPE,KAJIADO,NGO - (NON GOVERNMENT ORGANIZATION),LEVEL 3A
CN-19645,MWIKI CFW CLINIC,NAIROBI,NGO - (NON GOVERNMENT ORGANIZATION),LEVEL 2
CN-21162,MEDICAL LINK INTERGRATED HEALTH PROGRAM,NAIROBI,NGO - (NON GOVERNMENT ORGANIZATION),LEVEL 3B
CN-23617,MARIE STOPES KENYA EASTLEIGH NURSING HOME,NAIROBI,NGO - (NON GOVERNMENT ORGANIZATION),LEVEL 4
CN-26094,R.R.M.T.D ROPMENT MEDICAL CENTRE,KISII,NGO - (NON GOVERNMENT ORGANIZATION),LEVEL 3B
CN-28221,NORTH STAR ALLIANCE E.A - MLOLONGO WELLNESS CENTRE,MACHAKOS,NGO - (NON GOVERNMENT ORGANIZATION),LEVEL 2
CN-30414,THE NASIO TRUST-GEORGE MUDENYO KADIMA MEDICAL CENTRE LTD,KAKAMEGA,NGO - (NON GOVERNMENT ORGANIZATION),LEVEL 3A
CN-31433,WESLEY MISSION CLINIC LANET,NAKURU,NGO - (NON GOVERNMENT ORGANIZATION),LEVEL 3B
CN-36146,FHOK FAMILYCARE MEDICAL CENTRE - KISUMU,KISUMU,NGO - (NON GOVERNMENT ORGANIZATION),LEVEL 3A
CN-55648,THANANTU FAITH DISPENSARY,THARAKA-NITHI,NGO - (NON GOVERNMENT ORGANIZATION),LEVEL 2
CN-59508,IKUU CFW CLINIC,THARAKA-NITHI,NGO - (NON GOVERNMENT ORGANIZATION),LEVEL 2
