Application Number,Facility Name,County,Facility Type,Keph Level
CN-10025,MATIBABU FOUNDATION HOSPITAL UGUNJA CLINIC,SIAYA,PRIVATE,LEVEL 2
CN-10047,MERCILIN AFYA SERVICES-MLOLONGO,MACHAKOS,PRIVATE,LEVEL 2
CN-10056,SIHA NJEMA HOSPITAL,MERU,PRIVATE,LEVEL 2
CN-10107,TAHRIR HEALTHCARE SERVICES LIMITED,MANDERA,PRIVATE,LEVEL 3B
CN-10112,INTERNATIONAL OPTICA LAMU,MOMBASA,PRIVATE,LEVEL 2
CN-10138,OAKLAND MEDICAL CENTRE,NAKURU,PRIVATE,LEVEL 3B
CN-10224,SLENMARK MEDICAL CLINIC,KIRINYAGA,PRIVATE,LEVEL 3A
CN-10239,MULATYA MEMORIAL HOSPITAL,MAKUENI,PRIVATE,LEVEL 4
CN-10247,GERMAN MEDICAL CENTRE LTD,NAIROBI,PRIVATE,LEVEL 4
CN-10257,FLODER MEDICAL CENTRE,KIRINYAGA,PRIVATE,LEVEL 3A
CN-10291,PENDA MEDICAL CENTRE SUNTON,NAIROBI,PRIVATE,LEVEL 3A
CN-10295,MOYALE MADINA MEDICAL AND SURGICAL CLINIC,MARSABIT,PRIVATE,LEVEL 2
CN-10296,WESPRAM MEDICAL CENTRE,SIAYA,PRIVATE,LEVEL 3A
CN-10299,ST. THOMAS MATERNITY HOSPITAL,MOMBASA,PRIVATE,LEVEL 4
CN-10314,BONDO BARKOWINO MEDICAL CENTRE LTD,SIAYA,PRIVATE,LEVEL 2
CN-10368,DORAN LIFE CARE CENTRE,KAKAMEGA,PRIVATE,LEVEL 3B
CN-10406,FREEDOM OF LIFE MED CLINIC,MERU,PRIVATE,LEVEL 2
CN-10430,SAVANNAH HEALTHCARE SERVICES,NAIROBI,PRIVATE,LEVEL 2
CN-10440,RELSUN MEDICAL CLINIC,KERICHO,PRIVATE,LEVEL 2
CN-10459,BUNGOMA WEST HOSPITAL,BUNGOMA,PRIVATE,LEVEL 5
CN-10492,AGISO HEALTHCARE,HOMA BAY,PRIVATE,LEVEL 3B
CN-10501,RAVINE GLORY HEALTHCARE SERVICES,BARINGO,PRIVATE,LEVEL 3A
CN-10551,STAR SPECIALIST HOSPITAL LIMITED,KILIFI,PRIVATE,LEVEL 4
CN-10563,KING SOLOMON MEDICAL CENTER LIMITED,NAROK,PRIVATE,LEVEL 2
CN-10564,EASTGATE MEDICAL CENTRE,MANDERA,PRIVATE,LEVEL 3B
CN-10594,MARIAKANI COMMUNITY HEALTHCARE SERVICES.,KILIFI,PRIVATE,LEVEL 3B
CN-10598,KYOME HOSPITAL TALA,MACHAKOS,PRIVATE,LEVEL 3B
CN-10626,NYATIEKO -GESUSU HEALTH SERVICES,KISII,PRIVATE,LEVEL 3B
CN-10652,GAKIRA FAMILY HEALTH CARE LIMITED,MURANGA,PRIVATE,LEVEL 3A
CN-10671,KIRIMUKUYU MEDICAL CENTRE,NYERI,PRIVATE,LEVEL 2
CN-10695,FAMLIFE MEDICARE CENTRE LIMITED,NAIROBI,PRIVATE,LEVEL 3A
CN-10735,NEW APEX FAMILY HOSPITAL-PANPAPER,KAKAMEGA,PRIVATE,LEVEL 2
CN-10758,ST. JAMES LIFE CARE HOSPITAL LIMITED,SIAYA,PRIVATE,LEVEL 4
CN-10806,ULTRA KATHIANI HOSPITAL LIMITED-MITABONI,MACHAKOS,PRIVATE,LEVEL 3A
CN-10812,ST. MARY INTEGRATED MEDICAL CENTRE,NAIROBI,PRIVATE,LEVEL 3B
CN-10859,PENDA MEDICAL CENTER KANGEMI,NAIROBI,PRIVATE,LEVEL 3A
CN-10920,NEOGLOBAL MEDICARE LIMITED-NURSING HOME,MIGORI,PRIVATE,LEVEL 3B
CN-10933,CARLMAX APEX MEDICAL CLINIC,EMBU,PRIVATE,LEVEL 2
CN-10950,NAJRAN MEDICAL CENTRE LIMITED,WAJIR,PRIVATE,LEVEL 3A
CN-10973,POLYCARE MEDICAL CLINIC,KITUI,PRIVATE,LEVEL 3A
CN-10978,RFH HEALTHCARE - SYOKIMAU,MACHAKOS,PRIVATE,LEVEL 4
CN-10983,DONKON MEDICAL CLINIC,UASIN GISHU,PRIVATE,LEVEL 2
CN-11083,BEEHIVE MEDICAL SERVICES,MARSABIT,PRIVATE,LEVEL 3A
CN-11125,ENZAI AFYA MEDICAL CLINIC,MAKUENI,PRIVATE,LEVEL 2
CN-11164,KANAM MEDICARE,TURKANA,PRIVATE,LEVEL 2
CN-11166,TAWHEED MEDICAL CLINIC,GARISSA,PRIVATE,LEVEL 2
CN-11185,DANID CENTRE FOR CHRONIC ILLNESS LTD,KISUMU,PRIVATE,LEVEL 3A
CN-11190,DOCTA MAASAI HEALTHCARE,MOMBASA,PRIVATE,LEVEL 2
CN-11204,ROBINS HEALTHCARE LIMITED,MERU,PRIVATE,LEVEL 4
CN-11208,GANJONI HOSPITAL MOMBASA LIMITED,MOMBASA,PRIVATE,LEVEL 4
CN-11244,EASTERN DEANERY AIDS RELIEF PROGRAM KARIOBANGI CLINIC,NAIROBI,PRIVATE,LEVEL 2
CN-11285,AL-AMIN HOSPITAL LIMITED,NAIROBI,PRIVATE,LEVEL 4
CN-11295,WESTLANDS LASER EYE HOSPITAL LIMITED,NAIROBI,PRIVATE,LEVEL 4
CN-11371,NAIVASHA QUALITY HEALTHCARE SERVICES LTD,NAKURU,PRIVATE,LEVEL 3B
CN-11415,TUDOR HEALTHCARE - LIKONI,MOMBASA,PRIVATE,LEVEL 2
CN-11429,DANDELION MEDICAL CENTRE,NAKURU,PRIVATE,LEVEL 3A
CN-11501,JOSM MEDICAL CLINIC,THARAKA-NITHI,PRIVATE,LEVEL 2
CN-11502,MAKADARA HEALTH CARE AND MATERNITY HOME,MACHAKOS,PRIVATE,LEVEL 3B
CN-11510,AFYA RESEARCH AFRICA-UBUNTU AFYA NINALAKESIDE,SIAYA,PRIVATE,LEVEL 2
CN-11517,PENDA MEDICAL CENTRE MATHARE NORTH,NAIROBI,PRIVATE,LEVEL 3A
CN-11600,PENDA MEDICAL CENTRE UMOJA 1,NAIROBI,PRIVATE,LEVEL 3A
CN-11603,NEVLIGHT HOSPITAL LIMITED,MERU,PRIVATE,LEVEL 3A
CN-11604,GRANTON & DOLLY NURSING HOME LIMITED,EMBU,PRIVATE,LEVEL 3A
CN-11622,CCS MITUNGUU MEDICAL CLINIC,MERU,PRIVATE,LEVEL 2
CN-11633,GLOBAL OPTIC WEAR,MACHAKOS,PRIVATE,LEVEL 3B
CN-11911,SAIFEE FOUNDATION MEDICAL CENTRE,MOMBASA,PRIVATE,LEVEL 3B
CN-11940,ORACLE HEALTHCARE LIMITED,KERICHO,PRIVATE,LEVEL 3B
CN-11961,QUALITY DIALYSIS KENYA LTD UPPERHILL,NAIROBI,PRIVATE,LEVEL 4B
CN-11985,SWISS COTTAGE HOSPITAL-MTWAPA,KILIFI,PRIVATE,LEVEL 3B
CN-12013,CHIROMO MENTAL HEALTH HOSPITAL -NAIROBI LIMITED,NAIROBI,PRIVATE,LEVEL 5
CN-12043,MEDIFORTE HOSPITAL CLINIC,NYAMIRA,PRIVATE,LEVEL 2
CN-12045,CAPITAL MEMORIAL NURSING HOME,MAKUENI,PRIVATE,LEVEL 3A
CN-12054,KALOKOL MEDICAL SERVICES,TURKANA,PRIVATE,LEVEL 3A
CN-12061,WAMA NURSING HOME,KAJIADO,PRIVATE,LEVEL 4
CN-12114,PHINAL COMMUNITY MEDICAL CENTRE,BUNGOMA,PRIVATE,LEVEL 3A
CN-12132,ALFAPLUS MEDICAL CENTER,MOMBASA,PRIVATE,LEVEL 2
CN-12162,SANGALO HOSPICE MEDICAL CLINIC,NANDI,PRIVATE,LEVEL 2
CN-12166,MEDISTAR ANNEX KERICHO LIMITED,KERICHO,PRIVATE,LEVEL 2
CN-12203,THE SANURA MEDICAL CENTRE,HOMA BAY,PRIVATE,LEVEL 3A
CN-12207,SANTA CLARA MEDICAL CLINIC LTD,BARINGO,PRIVATE,LEVEL 2
CN-12227,WENISA MEDICAL CENTRE-NUNGUNI,MAKUENI,PRIVATE,LEVEL 3B
CN-12235,PRIME HEALTH SERVICES - KAHAWA WEST,NAIROBI,PRIVATE,LEVEL 2
CN-12303,WEST CANO MEDICAL CENTRE,BUNGOMA,PRIVATE,LEVEL 2
CN-12305,KOMAROCK MODERN HEALTHCARE- KATHWANA,THARAKA-NITHI,PRIVATE,LEVEL 5
CN-12319,PENDA MEDICAL CENTRE PIPELINE,NAIROBI,PRIVATE,LEVEL 3A
CN-12356,THE KAMUWONGO HOPE MEDICARE CENTRE,KITUI,PRIVATE,LEVEL 3B
CN-12432,KAPKOLEI HEALTH CARE CENTRE,NANDI,PRIVATE,LEVEL 2
CN-12471,ADC MARKET NURSING HOME LIMITED,WAJIR,PRIVATE,LEVEL 3B
CN-12498,AFYALINK MEDICAL CENTRE,KIRINYAGA,PRIVATE,LEVEL 3B
CN-12581,CHACAWEST HEALTHCARE,MACHAKOS,PRIVATE,LEVEL 2
CN-12619,BIG DIMENSION EYE CLINIC,KAJIADO,PRIVATE,LEVEL 2
CN-12694,ST. AKIDIVA MINDIRA HOSPITAL MABERA,MIGORI,PRIVATE,LEVEL 4
CN-12695,YETU KABIRIA HEALTHCARE AND SUPPLIES LIMITED,NAIROBI,PRIVATE,LEVEL 2
CN-12728,SOUTH C DIALYSIS CENTRE LTD,NAIROBI,PRIVATE,LEVEL 3B
CN-12734,NELLY NURSING HOSPITAL AND MATERNITY,NAIROBI,PRIVATE,LEVEL 3B
CN-12748,DURO MODERN HOSPITAL LIMITED,NAKURU,PRIVATE,LEVEL 3A
CN-12760,MENORAH HOSPITAL (K )LTD-WESTLANDS MEDICAL CENTRE,NAIROBI,PRIVATE,LEVEL 3B
CN-12767,LIFE POINT HOSPITAL,KIAMBU,PRIVATE,LEVEL 4
CN-12768,EL-MAKKAH COMPREHENSIVE CARE,GARISSA,PRIVATE,LEVEL 3A
