Application Number,Facility Name,County,Facility Type,Keph Level,latitude,longitude,geocoded_address,geocoding_status,matched_county
CN-10390,001337ST MARTIN DE PORRES DISPENSARY,NAKURU,FAITH BASED ORGANIZATION (FBO),LEVEL 2,-0.2806559,36.0794189,Nakuru,Success,
CN-10461,000943KAPLONG MISSION HOSPITAL,BOMET,FAITH BASED ORGANIZATION (FBO),LEVEL 4,-0.72064302304,35.297853151752,Bomet,Success,
CN-11324,000801HOLY CROSS DISPENSARY THIGIO,KIAMBU,FAITH BASED ORGANIZATION (FBO),LEVEL 2,-1.1877814,36.6001797,"Thigio, Limuru, Kiambu",Success,
CN-11511,017896KILIMANJARO MISSION HOSPITAL FOUNDATION,KAJIADO,FAITH BASED ORGANIZATION (FBO),LEVEL 3A,-1.8419404,36.7892723,Kajiado,Success,
CN-11758,000739NYINA WA MUMBI HEALTH SERVICES,NAIROBI,FAITH BASED ORGANIZATION (FBO),LEVEL 2,-1.2857857,36.8200253,Nairobi,Success,
CN-11877,001831EASTERN DEANERY AIDS RELIEF PROGRAM - RUAI CLINIC,NAIROBI,FAITH BASED ORGANIZATION (FBO),LEVEL 2,-1.2857857,36.8200253,Nairobi,Success,
CN-12252,000175CATHOLIC DISPENSARY DIMESSE SISTERS,LAIKIPIA,FAITH BASED ORGANIZATION (FBO),LEVEL 2,0.321036458859,36.76507926291,Laikipia,Success,
CN-12365,001826EASTERN DEANERY AIDS RELIEF PROGRAM - NJIRU CLINIC,NAIROBI,FAITH BASED ORGANIZATION (FBO),LEVEL 2,-1.2857857,36.8200253,Nairobi,Success,
CN-13810,001661ST. MARYS MISSION HOSPITAL MUMIAS,KAKAMEGA,FAITH BASED ORGANIZATION (FBO),LEVEL 4,0.3283221,34.4993675,"Mumias, Kakamega",Success,
CN-14096,000270P.C.E.A NJORO HEALTH CENTRE,NAKURU,FAITH BASED ORGANIZATION (FBO),LEVEL 3A,0.0140971,36.1398143,Health Centre,Success,
CN-14361,001250MULUTU CATHOLIC DISPENSARY,KITUI,FAITH BASED ORGANIZATION (FBO),LEVEL 2,-1.493161090519,38.407478986946,Kitui,Success,
CN-14640,001540FUTURE LIFE COMMUNITY NURSING HOME,SIAYA,FAITH BASED ORGANIZATION (FBO),LEVEL 3A,-0.06564696176,34.248353736491,Siaya,Success,
CN-14671,002105KANAMAI HEALTH SERVICES MTWAPA,KILIFI,FAITH BASED ORGANIZATION (FBO),LEVEL 3A,-3.946128,39.7450722,"Mtwapa, Kilifi",Success,
CN-14933,000907GESUSU ADVENTIST MISSION HOSPITAL,KISII,FAITH BASED ORGANIZATION (FBO),LEVEL 3B,-0.775814232663,34.777005852014,Kisii,Success,
