Application Number,Facility Name,County,Facility Type,Keph Level,latitude,longitude,geocoded_address,geocoding_status,matched_county
CN-10025,MATIBABU FOUNDATION HOSPITAL UGUNJA CLINIC,SIAYA,PRIVATE,LEVEL 2,0.192077514658,34.339569154802,"Ugunja, Siaya",Success,
CN-10047,MERCILIN AFYA SERVICES-MLOLONGO,MACHAKOS,PRIVATE,LEVEL 2,-1.39639,36.94028,"Mlolongo, Machakos",Success,
CN-10056,SIHA NJEMA HOSPITAL,MERU,PRIVATE,LEVEL 2,0.2289212,37.9464346,Hospital,Success,
CN-10107,TAHRIR HEALTHCARE SERVICES LIMITED,MANDERA,PRIVATE,LEVEL 3B,3.370055804436,40.694029088396,Mandera,Success,
CN-10112,INTERNATIONAL OPTICA LAMU,MOMBASA,PRIVATE,LEVEL 2,-4.0574645,39.663945,Mombasa,Success,
CN-10138,OAKLAND MEDICAL CENTRE,NAKURU,PRIVATE,LEVEL 3B,-0.2845127,36.0695371,Meridian Medical Centre,Success,
CN-10224,SLENMARK MEDICAL CLINIC,KIRINYAGA,PRIVATE,LEVEL 3A,-0.525012949373,37.320744609382,Kirinyaga,Success,
CN-10239,MULATYA MEMORIAL HOSPITAL,MAKUENI,PRIVATE,LEVEL 4,-2.160192128139,37.789123486634,Makueni,Success,
CN-10247,GERMAN MEDICAL CENTRE LTD,NAIROBI,PRIVATE,LEVEL 4,-1.2697736,36.845211,Park Medical Center Ltd,Success,
CN-10257,FLODER MEDICAL CENTRE,KIRINYAGA,PRIVATE,LEVEL 3A,-0.525012949373,37.320744609382,Kirinyaga,Success,
CN-10291,PENDA MEDICAL CENTRE SUNTON,NAIROBI,PRIVATE,LEVEL 3A,-1.31244,36.79729,Medical Centre,Success,
CN-10295,MOYALE MADINA MEDICAL AND SURGICAL CLINIC,MARSABIT,PRIVATE,LEVEL 2,3.15457369504,38.82767749883,"Moyale, Marsabit",Success,
CN-10296,WESPRAM MEDICAL CENTRE,SIAYA,PRIVATE,LEVEL 3A,-0.06564696176,34.248353736491,Siaya,Success,
CN-10299,ST. THOMAS MATERNITY HOSPITAL,MOMBASA,PRIVATE,LEVEL 4,-4.0648846,39.6647572,Seaside Hospital & Maternity,Success,
CN-10314,BONDO BARKOWINO MEDICAL CENTRE LTD,SIAYA,PRIVATE,LEVEL 2,-0.16678600224,34.122756999572,"Bondo, Siaya",Success,
CN-10368,DORAN LIFE CARE CENTRE,KAKAMEGA,PRIVATE,LEVEL 3B,0.28422,34.75229,Kakamega,Success,
CN-10406,FREEDOM OF LIFE MED CLINIC,MERU,PRIVATE,LEVEL 2,0.166838927273,37.764590845633,Meru,Success,
CN-10430,SAVANNAH HEALTHCARE SERVICES,NAIROBI,PRIVATE,LEVEL 2,-1.29783,36.89574,"Savannah, Nairobi",Success,
CN-10440,RELSUN MEDICAL CLINIC,KERICHO,PRIVATE,LEVEL 2,-0.389505,35.011687,Sondu Medical Clinic,Success,
CN-10459,BUNGOMA WEST HOSPITAL,BUNGOMA,PRIVATE,LEVEL 5,0.5926251,34.5520025,Bungoma West Hospital,Success,
CN-10492,AGISO HEALTHCARE,HOMA BAY,PRIVATE,LEVEL 3B,-0.545235884388,34.356395993113,Homa Bay,Success,
CN-10501,RAVINE GLORY HEALTHCARE SERVICES,BARINGO,PRIVATE,LEVEL 3A,0.671904478344,35.940931127722,Baringo,Success,
CN-10551,STAR SPECIALIST HOSPITAL LIMITED,KILIFI,PRIVATE,LEVEL 4,-3.176503150822,39.68804728776,Kilifi,Success,
CN-10563,KING SOLOMON MEDICAL CENTER LIMITED,NAROK,PRIVATE,LEVEL 2,-1.257270424837,35.575800972424,Narok,Success,
CN-10564,EASTGATE MEDICAL CENTRE,MANDERA,PRIVATE,LEVEL 3B,3.370055804436,40.694029088396,Mandera,Success,
CN-10594,MARIAKANI COMMUNITY HEALTHCARE SERVICES.,KILIFI,PRIVATE,LEVEL 3B,-3.862682,39.4729437,"Mariakani, Kilifi",Success,
CN-10598,KYOME HOSPITAL TALA,MACHAKOS,PRIVATE,LEVEL 3B,-1.2674866,37.3189544,"Tala, Machakos",Success,
CN-10626,NYATIEKO -GESUSU HEALTH SERVICES,KISII,PRIVATE,LEVEL 3B,-0.775814232663,34.777005852014,Kisii,Success,
CN-10652,GAKIRA FAMILY HEALTH CARE LIMITED,MURANGA,PRIVATE,LEVEL 3A,-0.6912334,36.9947477,"Gakira, Murang'a",Success,
CN-10671,KIRIMUKUYU MEDICAL CENTRE,NYERI,PRIVATE,LEVEL 2,-0.46667,37.08333,"Kirimukuyu, Nyeri",Success,
CN-10695,FAMLIFE MEDICARE CENTRE LIMITED,NAIROBI,PRIVATE,LEVEL 3A,-1.2857857,36.8200253,Nairobi,Success,
CN-10735,NEW APEX FAMILY HOSPITAL-PANPAPER,KAKAMEGA,PRIVATE,LEVEL 2,0.28422,34.75229,Kakamega,Success,
CN-10758,ST. JAMES LIFE CARE HOSPITAL LIMITED,SIAYA,PRIVATE,LEVEL 4,-0.06564696176,34.248353736491,Siaya,Success,
